Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2019,1,3,9,01/03/2019 08:00:00,5235.70425445672,2062.51889714323,12893.7596378045,4025.77980151738,193.819909895218,9506.81887752409,14684.9272836497,13150.8266625851,13516.3659112582,2221.5,2230.64282198486,69975.664057819,9747,3346,13093,0,560,1130,0,1300,100,763,1407,572,1214,5972,0,2842,0,0,55,514,10,62.89,34983.6257585976,469.76221889217
2019,1,3,10,01/03/2019 09:00:00,5224.98029674367,2022.10565073314,12215.5021041945,3621.9600632529,1725.5877850505,9512.08345208313,14884.9929857915,14562.5309612482,13613.3061209745,1255.75,2240.83976207867,71919.6391821508,8960,3324,12284,0,0,2636,0,1200,0,896,1565,814,1667,4487,0,1723,0,0,82,528,10,60.03,36405.0994147577,475.824779491258
2019,1,3,11,01/03/2019 10:00:00,5237.04474917086,2019.21899027528,10429.9579934051,3126.99527951298,3764.99201700891,9521.86051912136,14950.983243566,15726.862229049,13603.5832937911,1772.75,2233.87599811216,73442.1243130128,8946,2736,11682,0,0,2646,0,1200,0,1107,1510,660,1089,5524,0,11,0,0,125,534,12,58.19,37412.882175276,483.151964373003
2019,1,3,12,01/03/2019 11:00:00,5248.84110265522,2067.57055294449,8892.37079872725,2573.17116122897,5090.8597939791,9519.35357885515,14878.9700654391,16379.3965588184,13564.3332937911,2753,2233.62729225621,74732.4941986949,8469,3916,12385,0,194,1910,0,1400,10,1027,1445,187,2117,7322,0,0,0,0,139,539,11,62.99,37851.69135543,490.22901939119
2019,1,3,13,01/03/2019 12:00:00,5258.49266459697,1980.97073920859,7991.33351279547,2174.31845541546,5128.17415336336,9521.10843704149,14932.3907503041,16783.7459112346,13454.914812241,1983,2222.68423459457,74552.1336707956,6879,4969,11848,0,80,2000,964,1400,212,1434,1510,31,1966,5392,0,751,114,300,112,540,11,63.52,38182.3795230249,500.95150889136
2019,1,3,14,01/03/2019 13:00:00,5238.65334282781,1978.44491130796,7176.50893923481,1784.40640801372,4435.03979415359,9515.84386248245,14689.6408734907,17017.8571494139,13402.2191578742,926.25,2234.62211568,73051.4865544792,5348,6448,11796,0,615,1596,1219,1450,322,1367,1450,17,1952,6440,688,155,51,250,136,521,15,64.67,38106.9562864762,512.811996434465
2019,1,3,15,01/03/2019 14:00:00,5220.42261471562,1987.10489268155,6531.05801298732,1747.15366463139,2901.92967585499,9515.84386248245,14241.3261063876,17135.318741749,13318.7707811822,829.25,2230.64282198486,71037.821174657,4621,6090,10711,0,615,1541,200,1479,176,1327,1450,12,1927,5472,1292,341,306,25,109,514,15,65.24,37676.8997742458,525.089189004295
2019,1,3,16,01/03/2019 15:00:00,5261.70985191088,2014.52816703125,6747.2255808795,1577.0328031854,904.134981339465,9515.34247442921,14412.5865372786,17105.8180192501,13356.0207811822,951,2207.01576566993,70484.4149621566,3568,5369,8937,0,333,803,16,1400,117,1294,1779,5,1900,3820,931,828,276,275,0,512,17,67.76,37818.0137718054,539.878327566795
2019,1,3,17,01/03/2019 16:00:00,5256.61597199718,1990.35238569665,7733.45832003938,1456.5822662492,46.7100613874902,9510.82998195003,14788.3643940502,17080.3770292052,13463.6892627323,2615.75,2236.61176252757,71441.3414358352,4738,4343,9081,0,61,631,93,1825,25,1469,2154,129,1900,2250,85,1860,10,400,0,517,15,68.41,38291.5966673202,543.375365290634
2019,1,3,18,01/03/2019 17:00:00,5275.1147990522,2000.8165298564,9078.52922190028,1357.73832047474,0,9507.57095960396,14957.2680300207,16820.0128544901,13560.9691578742,3541.5,2249.5444670368,74475.0643403094,3874,4773,8647,0,0,1,22,1798,25,1369,2380,323,2053,2700,278,1502,0,400,0,554,15,69.55,38319.1375593212,535.314475449346
2019,1,3,19,01/03/2019 18:00:00,5287.44735042222,1999.01236707024,9389.55620487928,1386.05040544531,0,9505.31471336437,14939.723001168,16301.449695702,13490.050676324,4181.25,2256.5082310033,73867.3626453787,4869,5003,9872,0,515,740,0,1829,29,1176,2455,111,1966,4830,23,296,0,328,0,562,15,67.28,37860.7925625788,530.587617361827
2019,1,3,20,01/03/2019 19:00:00,5281.54917368004,1985.30072989539,9045.97692932358,1679.35367167554,0,9492.52931800669,15129.5759253209,16268.7011872399,13480.1892627323,2887,2241.08846793461,72413.264665809,5078,5861,10939,0,615,629,0,1821,25,1279,2410,1,1846,4828,950,1491,0,350,0,540,15,69.46,38014.1729189935,531.901351388799
2019,1,3,21,01/03/2019 20:00:00,5266.26753393893,2026.43564141994,8845.06824857673,1650.79323508242,0,9500.05013880532,15676.3523468812,16254.0861504056,13474.4392627323,1949.75,2255.01599586762,69065.2585537101,7833,4626,12459,0,615,1214,0,1798,0,1130,1985,0,1865,5506,125,2135,0,168,21,508,15,68.38,38616.9424501209,536.661776435752
2019,1,3,22,01/03/2019 21:00:00,5260.90555508241,2013.80650191679,8422.90570422257,1302.60426026889,0,9500.55152685857,15758.8401690994,15837.5576006275,13561.3876394243,1303.5,2240.83976207867,66499.8987195791,8703,4818,13521,0,615,1771,0,1766,25,1091,1822,0,1865,5748,197,2374,0,300,278,471,16,61.72,38378.342207571,540.390301938151
